Designator,Mid X,Mid Y,Rotation,Layer
C16,63.5,-125.4125,270.0,bottom
C17,59.978031,-121.561582,180.0,bottom
C18,62.30255,-125.406552,270.0,bottom
C19,65.044483,-112.761361,180.0,bottom
C20,72.528049,-118.885145,0.0,bottom
C21,65.048649,-111.732528,180.0,bottom
C22,59.961423,-122.606178,180.0,bottom
C_LDO1,81.75625,-84.1375,0.0,bottom
C_LDO2,76.2,-88.7349,270.0,bottom
C_Shield1,99.4664,-84.2264,90.0,bottom
D1,65.88125,-92.86875,90.0,bottom
D10,237.33125,-92.86875,90.0,bottom
D11,256.38125,-92.86875,90.0,bottom
D12,61.11875,-111.91875,90.0,bottom
D13,80.16875,-111.91875,90.0,bottom
D14,99.21875,-111.91875,90.0,bottom
D15,118.26875,-111.91875,90.0,bottom
D16,137.31875,-111.91875,90.0,bottom
D17,184.94375,-111.91875,90.0,bottom
D18,203.99375,-111.91875,90.0,bottom
D19,223.04375,-111.91875,90.0,bottom
D2,78.58125,-92.075,270.0,bottom
D20,242.09375,-111.91875,90.0,bottom
D21,261.14375,-111.91875,90.0,bottom
D22,56.35625,-130.96875,90.0,bottom
D23,75.40625,-130.96875,90.0,bottom
D24,94.45625,-130.96875,90.0,bottom
D25,113.50625,-130.96875,90.0,bottom
D26,132.55625,-130.96875,90.0,bottom
D27,189.70625,-130.96875,90.0,bottom
D28,208.75625,-130.96875,90.0,bottom
D29,227.80625,-130.96875,90.0,bottom
D3,97.63125,-92.075,270.0,bottom
D30,246.85625,-130.96875,90.0,bottom
D31,265.90625,-130.96875,90.0,bottom
D32,82.55,-150.01875,90.0,bottom
D33,103.98125,-150.01875,90.0,bottom
D34,109.5375,-150.01875,90.0,bottom
D35,169.06875,-148.43125,180.0,bottom
D36,199.23125,-150.01875,90.0,bottom
D37,218.28125,-150.01875,90.0,bottom
D38,239.7125,-150.01875,90.0,bottom
D39,95.25,-100.838,180.0,bottom
D4,123.03125,-92.86875,90.0,bottom
D40,133.35,-100.80625,180.0,bottom
D41,182.5625,-100.80625,180.0,bottom
D42,220.6625,-100.80625,180.0,bottom
D43,258.7625,-100.80625,180.0,bottom
D44,265.176,-136.144,0.0,bottom
D45,187.325,-117.475,0.0,bottom
D46,227.076,-136.144,0.0,bottom
D47,76.2,-100.838,180.0,bottom
D48,188.976,-136.144,0.0,bottom
D49,128.5875,-117.475,0.0,bottom
D5,142.08125,-92.86875,90.0,bottom
D50,114.3,-100.838,180.0,bottom
D51,57.15,-100.80625,180.0,bottom
D52,50.8,-136.144,0.0,bottom
D53,88.9,-136.144,0.0,bottom
D54,127.0,-136.144,0.0,bottom
D55,201.676,-100.838,180.0,bottom
D56,239.776,-100.838,180.0,bottom
D57,69.85,-136.144,0.0,bottom
D58,107.95,-136.144,0.0,bottom
D59,208.026,-136.144,0.0,bottom
D6,168.275,-86.9696,180.0,bottom
D60,246.126,-136.144,0.0,bottom
D7,180.18125,-92.86875,90.0,bottom
D8,199.23125,-92.86875,90.0,bottom
D9,218.28125,-92.86875,90.0,bottom
F1,81.75625,-86.51875,90.0,bottom
J2,63.5,-100.0125,270.0,bottom
MX1,62.70625,-92.075,180.0,bottom
MX10,234.15625,-92.075,180.0,bottom
MX11,253.20625,-92.075,180.0,bottom
MX12,57.94375,-111.125,180.0,bottom
MX13,76.99375,-111.125,180.0,bottom
MX14,96.04375,-111.125,180.0,bottom
MX15,115.09375,-111.125,180.0,bottom
MX16,134.14375,-111.125,180.0,bottom
MX17,181.76875,-111.125,180.0,bottom
MX18,200.81875,-111.125,180.0,bottom
MX19,219.86875,-111.125,180.0,bottom
MX2,81.75625,-92.075,0.0,bottom
MX20,238.91875,-111.125,180.0,bottom
MX21,257.96875,-111.125,180.0,bottom
MX22,53.18125,-130.175,180.0,bottom
MX23,72.23125,-130.175,180.0,bottom
MX24,91.28125,-130.175,180.0,bottom
MX25,110.33125,-130.175,180.0,bottom
MX26,129.38125,-130.175,180.0,bottom
MX27,186.53125,-130.175,180.0,bottom
MX28,205.58125,-130.175,180.0,bottom
MX29,224.63125,-130.175,180.0,bottom
MX3,100.80625,-92.075,0.0,bottom
MX30,243.68125,-130.175,180.0,bottom
MX31,262.73125,-130.175,180.0,bottom
MX35,157.95625,-153.9875,180.0,bottom
MX4,119.85625,-92.075,180.0,bottom
MX5,138.90625,-92.075,180.0,bottom
MX55,100.80625,-149.225,180.0,bottom
MX56,215.10625,-149.225,180.0,bottom
MX57,79.375,-149.225,180.0,bottom
MX58,236.5375,-149.225,180.0,bottom
MX59,129.38125,-149.225,0.0,bottom
MX6,157.95625,-92.075,180.0,bottom
MX60,119.85625,-149.225,180.0,bottom
MX61,186.53125,-149.225,0.0,bottom
MX62,196.05625,-149.225,180.0,bottom
MX7,177.00625,-92.075,180.0,bottom
MX8,196.05625,-92.075,180.0,bottom
MX9,215.10625,-92.075,180.0,bottom
R6,63.5,-130.96875,270.0,bottom
R_Shield1,98.1456,-84.2264,270.0,bottom
R_USB1,84.93125,-85.725,180.0,bottom
R_USB2,96.55375,-85.725,0.0,bottom
U1,65.0875,-119.0625,45.0,bottom
U3,78.58125,-87.3125,90.0,bottom
U4,92.075,-93.6625,180.0,bottom
U5,55.5625,-115.09375,0.0,bottom
USB1,90.7796,-81.1784,0.0,bottom
